Location,"Total Appts
Completed1","Appts
completed
in 30 Days
or under2","Percent
Appts
completed
in 30 Days
or under3","Appts
completed
in over 30
Days4","Percent
Appts
completed
in over 30
Days5","Appts
Completed
Between
0 - 14
Days6","Appts
Completed
Between
15 - 30
Days7","Appts
Completed
Between
31 - 60
days8","Appts
Completed
Between
61 - 90
Days9","Appts
Completed
Between
91 - 120
Days10","Appts
Completed
Beyond 120
Days11","PC Avg
Wait Time
in Days12","SC Avg
Wait Time
in Days13","MH Avg
Wait Time
in Days14"
"(V20) (653) Roseburg, OR",15639,15003,0.9593,636,0.0407,"14,356",647,441,138,47,10,3.36,9.1,1.33
"(V20) (663) VA Puget Sound, WA",62851,61462,0.9779,"1,389",0.0221,"58,842","2,620","1,105",245,36,3,4.23,4.45,1.1
"(V20) (668) Spokane, WA",20026,19596,0.9785,430,0.0215,"19,140",456,289,116,21,4,2.21,3.61,2.88
"(V20) (687) Walla Walla, WA",10517,10344,0.9836,173,0.0164,"9,935",409,130,32,11,0,2.88,8.3,1.29
"(V20) (692) White City, OR",12310,11930,0.9691,380,0.0309,"11,670",260,192,131,36,21,2.61,7.65,1.51
"(V21) (358) Manila, PI",2292,2253,0.983,39,0.0170,"2,118",135,30,8,1,0,6.96,5.14,6.86
"(V21) (459) Honolulu, HI",15226,15117,0.9928,109,0.0072,"14,751",366,83,23,2,1,2.9,0.95,1.49
"(V21) (570) Fresno, CA",19732,18903,0.958,829,0.0420,"18,154",749,641,142,38,8,0.37,8.77,0.89
"(V21) (612) N. California, CA",64997,62617,0.9634,"2,380",0.0366,"59,374","3,243","1,883",353,118,26,2.48,7.09,1.01
"(V21) (640) Palo Alto, CA",44478,43265,0.9727,"1,213",0.0273,"41,394","1,871","1,075",102,34,2,2.93,4.08,2.33
"(V21) (654) Reno, NV",24654,23440,0.9508,"1,214",0.0492,"22,200","1,240",793,271,133,17,6.06,9.19,2.84
"(V21) (662) San Francisco, CA",41386,40780,0.9854,606,0.0146,"39,532","1,248",490,78,37,1,3.68,2.93,1.58
"(V22) (593) Las Vegas, NV",41853,40568,0.9693,"1,285",0.0307,"39,009","1,559","1,091",164,29,1,4.1,3.3,2.4
"(V22) (600) Long Beach, CA",49445,48665,0.9842,780,0.0158,"46,771","1,894",730,29,11,10,5.69,2.56,2.21
"(V22) (605) Loma Linda, CA",53584,51933,0.9692,"1,651",0.0308,"49,431","2,502","1,116",300,154,81,3.46,6.11,3.59
"(V22) (664) San Diego, CA",60802,59434,0.9775,"1,368",0.0225,"57,564","1,870","1,002",239,108,19,2.16,3.84,3
(V22) (691) Greater Los Angeles HCS,65683,62800,0.9561,"2,883",0.0439,"59,058","3,742","2,242",434,187,20,4.64,6.68,4.49
"(V23) (437) Fargo, ND",18930,18590,0.982,340,0.0180,"18,029",561,296,33,11,0,1.69,3.54,1.37
"(V23) (438) Sioux Falls, SD",18226,17681,0.9701,545,0.0299,"16,914",767,484,57,4,0,3.03,5.03,3.85
"(V23) (568) Black Hills HCS, SD",13315,12987,0.9754,328,0.0246,"12,399",588,266,60,0,2,2.74,5.52,1.95
"(V23) (618) Minneapolis, MN",64104,63347,0.9882,757,0.0118,"62,176","1,171",628,105,21,3,2.16,2.53,0.82
"(V23) (636) Central Iowa, IA",23238,22895,0.9852,343,0.0148,"21,998",897,297,44,2,0,3.34,3.16,3.27
"(V23) (636) Iowa City, IA",24724,24006,0.971,718,0.0290,"22,880","1,126",594,88,28,8,4.6,4.7,1.72
"(V23) (636) Nebraska-W Iowa, NE",44645,44436,0.9953,209,0.0047,"43,715",721,189,17,3,0,1.5,2.02,0.89
"(V23) (656) St. Cloud, MN",35123,34621,0.9857,502,0.0143,"33,639",982,378,114,8,2,2.03,4.23,3.28
